股票代號,股票名稱,日期,開盤價,最高價,最低價,收盤價,漲跌,漲幅(%),振幅(%),成交量,成交筆數,成交金額(千),均張,成交量變動(%),均張變動(%),股本(百萬),總市值(億),市值比重(%),本益比,股價淨值比,本益比(近四季),週轉率(%),成交值比重(%),漲跌停,成交量(股)
1531,高林股,20190524,16.3,16.4,16.25,16.35,0.05,0.31,0.92,86,34,1403,2.5,50.88,31.58,1850,30.2,0.01,17,0.79,20.9,0.05,0.001,0,86100
1532,勤美,20190524,34.55,34.95,34.3,34.65,0,0,1.88,170,129,5925,1.3,1.8,0,3853,133.5,0.043,9.9,1.02,8.6,0.04,0.006,0,170808
1533,車王電,20190524,33.9,34.1,33.9,33.9,0,0,0.59,44,35,1500,1.3,-57.69,-13.33,985,33.4,0.011,14.1,1.35,15.2,0.04,0.001,0,44120
1535,中宇,20190524,32,33,32,32.35,0.35,1.09,3.13,67,51,2159,1.3,11.67,-7.14,1237,40,0.013,40.4,1.31,46.3,0.05,0.002,0,67000
1536,和大,20190524,89.7,92,89.7,91.5,-0.4,-0.44,2.5,875,652,79844,1.3,-28.69,0,2550,233.3,0.075,21.5,3.33,20.3,0.34,0.077,0,875562
1537,廣隆,20190524,162.5,164,162.5,163,1,0.62,0.93,155,134,25314,1.2,43.52,9.09,818,133.3,0.043,12.7,3.18,12.8,0.19,0.025,0,155125
1538,正峰新,20190524,4.85,4.85,4.85,4.85,-0.05,-1.02,0,4,5,19,0.8,33.33,33.33,561,2.7,0.001,,0.96,,0.01,0,0,4001
1539,巨庭,20190524,23.9,23.9,23.55,23.55,-0.15,-0.63,1.48,39,32,922,1.2,-27.78,0,654,15.4,0.005,11.5,1.1,4.3,0.06,0.001,0,39000
1540,喬福,20190524,21.3,21.4,21.2,21.4,0.1,0.47,0.94,264,149,5639,1.8,-41.2,12.5,855,18.3,0.006,12.6,1.22,10.2,0.31,0.005,0,264501
1541,錩泰,20190524,27.5,27.5,27.2,27.3,0.3,1.11,1.11,39,27,1066,1.4,-26.42,-17.65,788,21.5,0.007,15.1,1.86,18,0.05,0.001,0,39000
1558,伸興,20190524,144.5,145.5,144,145.5,1.5,1.04,1.04,131,148,19147,0.9,29.7,0,605,88,0.028,9.7,1.8,8.3,0.22,0.019,0,131984
1560,中砂,20190524,58.1,59,58.1,58.6,0.5,0.86,1.55,162,114,9531,1.4,-6.36,27.27,1410,82.6,0.027,12.5,1.88,12.3,0.12,0.009,0,162240
1565,精華,20190524,528,533,523,528,0,0,1.89,83,96,44171,0.9,59.62,12.5,504,266.1,0.886,15.8,4.3,15.6,0.17,0.138,0,83652
1566,捷邦,20190524,17.95,18.25,17.95,18,0.1,0.56,1.68,227,89,4111,2.6,-2.16,-29.73,865,15.6,0.052,18.1,0.98,19.8,0.26,0.013,0,227075
